Number of Jobs:                                   64
Number of Tiles:                                  15
Number of V2P:                                    11
Number Bytes of (High-Priority) Data Fetches:     196608 / 196608
Number Bytes of (High-Priority) Weights Fetches:  1792 / 3360
Number Bytes of (High-Priority) Data Pushes:      1048576 / 1048576
Cycles of Compute Jobs:                           79585
Cycles of Overflow Data Movement:                 0
Cycles of High-Priority Data Movement:            105908
Cycles of DRAM Access:                            111622
Cycles of the Whole Subgraph:                     188654
Predicted Latency of the Whole Subgraph:          0.188654 ms
--------------------------------------------------------------------------------------------------------
| Tick | Absolute Cycle Count | Delta Cycle Count | Job Name                                           |
--------------------------------------------------------------------------------------------------------
| 0    | 0                    | 633               | RELOCATE_KERNELS                                   |
| 1    | 633                  | 175               | V2P                                                |
| 2    | 808                  | 993               | WFETCH                                             |
| 3    | 1801                 | 0                 | DFETCH                                             |
| 4    | 1801                 | 0                 | DFETCH                                             |
| 5    | 1801                 | 0                 | DFETCH                                             |
| 6    | 1801                 | 0                 | DFETCH                                             |
| 7    | 1801                 | 0                 | DFETCH                                             |
| 8    | 1801                 | 0                 | DFETCH                                             |
| 9    | 1801                 | 0                 | DFETCH                                             |
| 10   | 1801                 | 0                 | DFETCH                                             |
| 11   | 1801                 | 175               | V2P                                                |
| 12   | 1976                 | 8515              | Conv2DStandardV2TT                                 |
| 13   | 10491                | 1236              | TCM2TCM_CP_T0                                      |
| 14   | 11727                | 175               | V2P                                                |
| 15   | 11902                | 8515              | Conv2DStandardV2TT, WFETCH, WFETCH, WFETCH, WFETCH |
| 16   | 20417                | 175               | V2P                                                |
| 17   | 20592                | 8749              | GlobalBiasScaleTT                                  |
| 18   | 29341                | 24371             | PUSH                                               |
| 19   | 53712                | 0                 | PUSH                                               |
| 20   | 53712                | 0                 | PUSH                                               |
| 21   | 53712                | 0                 | PUSH                                               |
| 22   | 53712                | 175               | V2P                                                |
| 23   | 53887                | 8749              | GlobalBiasScaleTT, WFETCH                          |
| 24   | 62636                | 24371             | PUSH                                               |
| 25   | 87007                | 0                 | PUSH                                               |
| 26   | 87007                | 0                 | PUSH                                               |
| 27   | 87007                | 0                 | PUSH                                               |
| 28   | 87007                | 175               | V2P                                                |
| 29   | 87182                | 10061             | BatchNormTT, WFETCH, WFETCH, WFETCH, WFETCH        |
| 30   | 97243                | 175               | V2P                                                |
| 31   | 97418                | 175               | V2P                                                |
| 32   | 97593                | 8749              | GlobalBiasScaleTT                                  |
| 33   | 106342               | 13885             | PUSH                                               |
| 34   | 120227               | 0                 | PUSH                                               |
| 35   | 120227               | 0                 | PUSH                                               |
| 36   | 120227               | 0                 | PUSH                                               |
| 37   | 120227               | 175               | V2P                                                |
| 38   | 120402               | 8749              | GlobalBiasScaleTT                                  |
| 39   | 129151               | 13885             | PUSH                                               |
| 40   | 143036               | 0                 | PUSH                                               |
| 41   | 143036               | 0                 | PUSH                                               |
| 42   | 143036               | 0                 | PUSH                                               |
| 43   | 143036               | 175               | V2P                                                |
| 44   | 143211               | 8749              | GlobalBiasScaleTT                                  |
| 45   | 151960               | 13885             | PUSH                                               |
| 46   | 165845               | 0                 | PUSH                                               |
| 47   | 165845               | 0                 | PUSH                                               |
| 48   | 165845               | 0                 | PUSH                                               |
| 49   | 165845               | 175               | V2P                                                |
| 50   | 166020               | 8749              | GlobalBiasScaleTT                                  |
| 51   | 174769               | 13885             | PUSH                                               |
| 52   | 188654               | 0                 | PUSH                                               |
| 53   | 188654               | 0                 | PUSH                                               |
| 54   | 188654               | 0                 | PUSH                                               |
--------------------------------------------------------------------------------------------------------
