Number of Jobs:                                   405
Number of Tiles:                                  213
Number of V2P:                                    110
Number Bytes of (High-Priority) Data Fetches:     1245184 / 1376256
Number Bytes of (High-Priority) Weights Fetches:  6784 / 125736
Number Bytes of (High-Priority) Data Pushes:      262160 / 1179664
Cycles of Compute Jobs:                           411294
Cycles of Overflow Data Movement:                 195151
Cycles of High-Priority Data Movement:            142184
Cycles of DRAM Access:                            262307
Cycles of the Whole Subgraph:                     774347
Predicted Latency of the Whole Subgraph:          0.774347 ms
--------------------------------------------------------------------------------------------------------------------
| Tick | Absolute Cycle Count | Delta Cycle Count | Job Name                                                       |
--------------------------------------------------------------------------------------------------------------------
| 0    | 0                    | 1519              | RELOCATE_KERNELS                                               |
| 1    | 1519                 | 0                 | DFETCH                                                         |
| 2    | 1519                 | 0                 | DFETCH                                                         |
| 3    | 1519                 | 0                 | DFETCH                                                         |
| 4    | 1519                 | 0                 | DFETCH                                                         |
| 5    | 1519                 | 175               | V2P                                                            |
| 6    | 1694                 | 921               | WFETCH                                                         |
| 7    | 2615                 | 1236              | TCM2TCM_CP_T0                                                  |
| 8    | 3851                 | 175               | V2P                                                            |
| 9    | 4026                 | 8840              | Conv2DStandardV2TT, WFETCH, WFETCH, WFETCH, WFETCH             |
| 10   | 12866                | 175               | V2P                                                            |
| 11   | 13041                | 36886             | InterpolationTwoPipesTT, WFETCH                                |
| 12   | 49927                | 175               | V2P                                                            |
| 13   | 50102                | 4711              | BatchNormTT, WFETCH                                            |
| 14   | 54813                | 175               | V2P                                                            |
| 15   | 54988                | 4658              | ActivationTT, WFETCH                                           |
| 16   | 59646                | 175               | V2P                                                            |
| 17   | 59821                | 8230              | AddTT, WFETCH                                                  |
| 18   | 68051                | 175               | V2P                                                            |
| 19   | 68226                | 39165             | Conv2DDepthwiseDenseTT                                         |
| 20   | 107391               | 1046              | StridedSliceConcatTT                                           |
| 21   | 108437               | 24371             | PUSH, PUSH, PUSH, PUSH, StridedSliceConcatTT                   |
| 22   | 132808               | 24371             | PUSH, PUSH, PUSH, PUSH, StridedSliceConcatTT                   |
| 23   | 157179               | 175               | V2P                                                            |
| 24   | 157354               | 24371             | PUSH, PUSH, PUSH, PUSH, StridedSliceConcatTT                   |
| 25   | 181725               | 24371             | PUSH                                                           |
| 26   | 206096               | 0                 | PUSH                                                           |
| 27   | 206096               | 0                 | PUSH                                                           |
| 28   | 206096               | 0                 | PUSH                                                           |
| 29   | 206096               | 24371             | DFETCH_UNP                                                     |
| 30   | 230467               | 0                 | DFETCH_UNP                                                     |
| 31   | 230467               | 24371             | DFETCH_UNP                                                     |
| 32   | 254838               | 0                 | DFETCH_UNP                                                     |
| 33   | 254838               | 19581             | MaxPoolDenseFF                                                 |
| 34   | 274419               | 24371             | DFETCH_UNP                                                     |
| 35   | 298790               | 0                 | DFETCH_UNP                                                     |
| 36   | 298790               | 24371             | DFETCH_UNP                                                     |
| 37   | 323161               | 0                 | DFETCH_UNP                                                     |
| 38   | 323161               | 19581             | MaxPoolDenseFF                                                 |
| 39   | 342742               | 175               | V2P                                                            |
| 40   | 342917               | 916               | WFETCH                                                         |
| 41   | 343833               | 0                 | WFETCH                                                         |
| 42   | 343833               | 0                 | WFETCH                                                         |
| 43   | 343833               | 0                 | WFETCH                                                         |
| 44   | 343833               | 175               | V2P                                                            |
| 45   | 344008               | 36886             | InterpolationTwoPipesTT, WFETCH, WFETCH, PUSH_P                |
| 46   | 380894               | 175               | V2P                                                            |
| 47   | 381069               | 4711              | BatchNormTT                                                    |
| 48   | 385780               | 175               | V2P                                                            |
| 49   | 385955               | 4658              | ActivationTT, WFETCH                                           |
| 50   | 390613               | 175               | V2P                                                            |
| 51   | 390788               | 8230              | AddTT, WFETCH                                                  |
| 52   | 399018               | 175               | V2P                                                            |
| 53   | 399193               | 39165             | Conv2DDepthwiseDenseTT, DFETCH_UNP, WFETCH                     |
| 54   | 438358               | 175               | V2P                                                            |
| 55   | 438533               | 9789              | Conv2DDenseTT, WFETCH, WFETCH, WFETCH, WFETCH, WFETCH          |
| 56   | 448322               | 175               | V2P                                                            |
| 57   | 448497               | 9238              | InterpolationTwoPipesTT                                        |
| 58   | 457735               | 175               | V2P                                                            |
| 59   | 457910               | 1202              | BatchNormTT, WFETCH                                            |
| 60   | 459112               | 175               | V2P                                                            |
| 61   | 459287               | 1202              | ActivationTT, WFETCH                                           |
| 62   | 460489               | 175               | V2P                                                            |
| 63   | 460664               | 4893              | AddTT, WFETCH                                                  |
| 64   | 465557               | 175               | V2P                                                            |
| 65   | 465732               | 1441              | RELOCATE_KERNELS                                               |
| 66   | 467173               | 9789              | Conv2DDepthwiseDenseTT, WFETCH                                 |
| 67   | 476962               | 1476              | TCM2TCM_CP_T0                                                  |
| 68   | 478438               | 175               | V2P                                                            |
| 69   | 478613               | 3718              | Conv2DDepthwiseNeutron16x16Kernel3x3TT, WFETCH                 |
| 70   | 482331               | 175               | V2P                                                            |
| 71   | 482506               | 1202              | Conv2DPointwiseTT                                              |
| 72   | 483708               | 175               | V2P                                                            |
| 73   | 483883               | 12377             | MemCpyFT, WFETCH                                               |
| 74   | 496260               | 920               | RELOCATE_FETCH_TABLE                                           |
| 75   | 497180               | 175               | V2P                                                            |
| 76   | 497355               | 4893              | AddTT                                                          |
| 77   | 502248               | 12377             | MemCpyTF                                                       |
| 78   | 514625               | 9789              | MaxPoolDenseFF                                                 |
| 79   | 524414               | 175               | V2P                                                            |
| 80   | 524589               | 3161              | MemCpyFT, WFETCH, WFETCH, WFETCH, WFETCH, WFETCH               |
| 81   | 527750               | 175               | V2P                                                            |
| 82   | 527925               | 592               | Conv2DPointwiseTT                                              |
| 83   | 528517               | 175               | V2P                                                            |
| 84   | 528692               | 9238              | InterpolationTwoPipesTT, WFETCH                                |
| 85   | 537930               | 175               | V2P                                                            |
| 86   | 538105               | 1202              | BatchNormTT, WFETCH                                            |
| 87   | 539307               | 175               | V2P                                                            |
| 88   | 539482               | 1202              | ActivationTT, WFETCH                                           |
| 89   | 540684               | 175               | V2P                                                            |
| 90   | 540859               | 1529              | RELOCATE_KERNELS                                               |
| 91   | 542388               | 4893              | AddTT, WFETCH                                                  |
| 92   | 547281               | 175               | V2P                                                            |
| 93   | 547456               | 9789              | Conv2DDepthwiseDenseTT, WFETCH                                 |
| 94   | 557245               | 175               | V2P                                                            |
| 95   | 557420               | 2445              | Conv2DDenseTT, WFETCH, WFETCH, WFETCH, WFETCH                  |
| 96   | 559865               | 175               | V2P                                                            |
| 97   | 560040               | 2326              | InterpolationTwoPipesTT, WFETCH, WFETCH                        |
| 98   | 562366               | 175               | V2P                                                            |
| 99   | 562541               | 338               | BatchNormTT                                                    |
| 100  | 562879               | 175               | V2P                                                            |
| 101  | 563054               | 855               | WFETCH, ActivationTT                                           |
| 102  | 563909               | 175               | V2P                                                            |
| 103  | 564084               | 1221              | AddTT, WFETCH                                                  |
| 104  | 565305               | 175               | V2P                                                            |
| 105  | 565480               | 2445              | Conv2DDepthwiseDenseTT, WFETCH, WFETCH                         |
| 106  | 567925               | 1284              | TCM2TCM_CP_T0                                                  |
| 107  | 569209               | 175               | V2P                                                            |
| 108  | 569384               | 1374              | Conv2DDepthwiseNeutron16x16Kernel3x3TT, WFETCH                 |
| 109  | 570758               | 175               | V2P                                                            |
| 110  | 570933               | 592               | Conv2DPointwiseTT                                              |
| 111  | 571525               | 175               | V2P                                                            |
| 112  | 571700               | 2445              | AddTT                                                          |
| 113  | 574145               | 175               | V2P                                                            |
| 114  | 574320               | 1579              | RELOCATE_KERNELS                                               |
| 115  | 575899               | 3604              | WFETCH_UNP, MemCpyTF                                           |
| 116  | 579503               | 175               | V2P                                                            |
| 117  | 579678               | 2445              | MaxPoolDenseFF, WFETCH, WFETCH, WFETCH, WFETCH                 |
| 118  | 582123               | 175               | V2P                                                            |
| 119  | 582298               | 594               | Conv2DPointwiseFF                                              |
| 120  | 582892               | 175               | V2P                                                            |
| 121  | 583067               | 4630              | InterpolationTwoPipesTT, WFETCH, WFETCH                        |
| 122  | 587697               | 175               | V2P                                                            |
| 123  | 587872               | 855               | WFETCH, BatchNormTT                                            |
| 124  | 588727               | 175               | V2P                                                            |
| 125  | 588902               | 626               | ActivationTT                                                   |
| 126  | 589528               | 175               | V2P                                                            |
| 127  | 589703               | 2445              | AddTT, WFETCH                                                  |
| 128  | 592148               | 175               | V2P                                                            |
| 129  | 592323               | 4893              | Conv2DDepthwiseDenseTT, WFETCH, WFETCH, WFETCH, WFETCH, WFETCH |
| 130  | 597216               | 175               | V2P                                                            |
| 131  | 597391               | 1233              | Conv2DDenseTT, WFETCH                                          |
| 132  | 598624               | 175               | V2P                                                            |
| 133  | 598799               | 1174              | InterpolationTwoPipesTT, WFETCH                                |
| 134  | 599973               | 919               | RELOCATE_FETCH_TABLE                                           |
| 135  | 600892               | 175               | V2P                                                            |
| 136  | 601067               | 855               | WFETCH, BatchNormTT                                            |
| 137  | 601922               | 175               | V2P                                                            |
| 138  | 602097               | 194               | ActivationTT                                                   |
| 139  | 602291               | 175               | V2P                                                            |
| 140  | 602466               | 873               | WFETCH, AddTT                                                  |
| 141  | 603339               | 175               | V2P                                                            |
| 142  | 603514               | 1221              | Conv2DDepthwiseDenseTT, WFETCH                                 |
| 143  | 604735               | 1284              | TCM2TCM_CP_T0                                                  |
| 144  | 606019               | 175               | V2P                                                            |
| 145  | 606194               | 1446              | RELOCATE_KERNELS                                               |
| 146  | 607640               | 1527              | Conv2DDepthwiseNeutron16x16Kernel3x3TT                         |
| 147  | 609167               | 175               | V2P                                                            |
| 148  | 609342               | 3604              | WFETCH_UNP, MemCpyTF                                           |
| 149  | 612946               | 175               | V2P                                                            |
| 150  | 613121               | 3423              | WFETCH, Conv2DPointwiseFF                                      |
| 151  | 616544               | 175               | V2P                                                            |
| 152  | 616719               | 1221              | AddFF                                                          |
| 153  | 617940               | 175               | V2P                                                            |
| 154  | 618115               | 3666              | WFETCH, WFETCH, WFETCH, WFETCH, MaxPoolDenseFF                 |
| 155  | 621781               | 175               | V2P                                                            |
| 156  | 621956               | 3446              | WFETCH_UNP, InterpolationTwoPipesFF                            |
| 157  | 625402               | 175               | V2P                                                            |
| 158  | 625577               | 3425              | WFETCH, BatchNormFF                                            |
| 159  | 629002               | 175               | V2P                                                            |
| 160  | 629177               | 3423              | WFETCH, ActivationFF                                           |
| 161  | 632600               | 175               | V2P                                                            |
| 162  | 632775               | 3446              | WFETCH_UNP, AddFF                                              |
| 163  | 636221               | 175               | V2P                                                            |
| 164  | 636396               | 4751              | WFETCH_CNM_UNP, Conv2DDepthwiseDenseFF                         |
| 165  | 641147               | 175               | V2P                                                            |
| 166  | 641322               | 1524              | RELOCATE_KERNELS                                               |
| 167  | 642846               | 1241              | Conv2DDenseFF, WFETCH, WFETCH, WFETCH, WFETCH                  |
| 168  | 644087               | 175               | V2P                                                            |
| 169  | 644262               | 873               | WFETCH, MemCpyFT                                               |
| 170  | 645135               | 175               | V2P                                                            |
| 171  | 645310               | 310               | InterpolationTwoPipesTT                                        |
| 172  | 645620               | 175               | V2P                                                            |
